month,average_price
2015-01,1.3845839725175797
2015-02,0.9407008797667746
2015-03,0.7530340793540328
2015-04,0.3568931788041771
2015-05,0.14588267226186424
2015-06,0.06419838733990559
2015-07,0.03924351251047181
2015-08,0.02580894322888531
2015-09,0.02085262438201313
2015-10,0.020529895668350492
2015-11,0.02295208964863955
2015-12,0.009810896035820242
2016-01,0.0031010727725619158
2016-02,0.0014539699837294794
2016-03,0.0010783848838823936
2016-04,0.0006995573532495999
2016-05,0.0004933031705223677
2016-06,0.00022521563094928665
2016-07,0.00011281181756647893
2016-08,5.164283097914087e-05
2016-09,3.7089430437310344e-05
2016-10,1.9779740833812744e-05
2016-11,9.507552847040835e-06
2016-12,7.771099786608022e-06
2017-01,5.485840070704869e-06
2017-02,6.403454579321654e-06
2017-03,3.932741378168561e-06
2017-04,2.0799449950195873e-06
2017-05,1.1379367645337988e-06
2017-06,9.399859295021193e-07
2017-07,6.437195540726e-07
2017-08,3.3213972063679296e-07
2017-09,1.6379154597252579
2017-10,1.4878975776078338
2017-11,0.8970391112333199
2017-12,0.5425491129567185
2018-01,0.34129168124499126
2018-02,0.22877220247812252
2018-03,0.20267924351526864
2018-04,0.1561461305867161
2018-05,0.08605808216144788
2018-06,0.03889488800593568
2018-07,0.020524693410657747
2018-08,0.018196530658165774
2018-09,0.012311802092212665
2018-10,0.0064778640789808425
2018-11,0.003072000985536516
2018-12,0.0010444693812170288
2019-01,0.001161726419404342
2019-02,1.6831608381297765
2019-03,3.669690297204701
2019-04,2.932996799311273
2019-05,2.4051931933473885
2019-06,1.7873632582492376
2019-07,0.7452575873375115
2019-08,0.31257903463939185
2019-09,0.2703817933491398
2019-10,0.2202644809717719
2019-11,0.16512289967958285
2019-12,0.11381788318890781
