month,average_price
2015-01,9.441327626641801
2015-02,9.19713944236643
2015-03,9.66160101192432
2015-04,10.27394575963794
2015-05,11.11700338621075
2015-06,11.977092768682487
2015-07,11.901227356169265
2015-08,13.063506088763274
2015-09,13.176929556530796
2015-10,13.026220371016889
2015-11,13.335608743153797
2015-12,13.595694210142428
2016-01,13.843619379344476
2016-02,14.81552305097423
2016-03,16.6535804647476
2016-04,18.298715467486893
2016-05,20.525906809597142
2016-06,21.706323670968796
2016-07,22.401019965640096
2016-08,23.800953624837714
2016-09,24.347271196569082
2016-10,25.579399050640237
2016-11,29.384722214478767
2016-12,32.319053979338555
2017-01,34.22885544650596
2017-02,37.30090830716857
2017-03,38.04502937872035
2017-04,37.978007819278204
2017-05,41.7993484190499
2017-06,43.12559716164473
2017-07,44.73117232080149
2017-08,47.96257448685036
2017-09,45.657642053211056
2017-10,43.60475116400541
2017-11,48.204284015107554
2017-12,53.85939484640317
2018-01,52.96050892217358
2018-02,56.237391507896064
2018-03,58.73760747675263
2018-04,65.18093239769287
2018-05,73.89610448280538
2018-06,83.05834334674408
2018-07,91.11884408984079
2018-08,102.39616485502674
2018-09,110.72235501910968
2018-10,107.35621574538081
2018-11,109.18067981374399
2018-12,107.91271642570008
2019-01,109.95967774886407
2019-02,127.65644035082464
2019-03,136.50615206547232
2019-04,137.2535787166511
2019-05,139.85423043712885
2019-06,157.29328704228826
2019-07,170.26547397489443
2019-08,163.41682038263534
2019-09,184.38607505905986
2019-10,198.6941880913326
2019-11,210.12761815209194
2019-12,200.99115920483553
