month,average_price
2015-01,4.868255552389542
2015-02,5.913701480039758
2015-03,7.221619974047672
2015-04,8.82745092544646
2015-05,10.035157164388803
2015-06,10.878628776939081
2015-07,11.541246610619057
2015-08,12.40622303612731
2015-09,13.574570209319722
2015-10,15.523312434249817
2015-11,16.314137409451963
2015-12,17.171475168799162
2016-01,16.56662196840959
2016-02,17.502364688123734
2016-03,18.006786621695422
2016-04,19.559861703069565
2016-05,19.553118223013964
2016-06,20.99128810894957
2016-07,21.236125442764614
2016-08,19.708426392556902
2016-09,19.382016100262202
2016-10,22.551923162371345
2016-11,28.00445966582119
2016-12,36.77883807696699
2017-01,42.72788274988193
2017-02,45.7313620683991
2017-03,58.645398892297436
2017-04,65.91043556488248
2017-05,69.87449984397817
2017-06,75.02856361206074
2017-07,79.24670175027494
2017-08,86.04328625062584
2017-09,85.11455129557444
2017-10,93.59681203539854
2017-11,96.57133998748688
2017-12,98.38769240946137
2018-01,104.73704262230224
2018-02,115.34093675154058
2018-03,131.9985896198343
2018-04,134.5147159358454
2018-05,149.5221166577931
2018-06,169.94607075217954
2018-07,170.11258817869424
2018-08,180.03866524226427
2018-09,199.90430609682022
2018-10,215.33706480919017
2018-11,233.4741596419708
2018-12,256.4831221070493
2019-01,224.5069328241749
2019-02,246.36970926809246
2019-03,263.2777609887058
2019-04,268.6133286171322
2019-05,258.9371202530533
2019-06,254.6812717875293
2019-07,294.5712356235533
2019-08,309.8556707498316
2019-09,316.1439873638267
2019-10,363.1998916864424
2019-11,381.7384479873639
2019-12,424.80897337557445
