month,average_price
2015-01,50.44740269460263
2015-02,45.99532763314018
2015-03,24.16319441042683
2015-04,25.517192231045602
2015-05,25.66010787150386
2015-06,20.930659820447303
2015-07,18.696475111050052
2015-08,12.917825592625443
2015-09,9.800973188295748
2015-10,11.369712945750301
2015-11,17.49876060155775
2015-12,18.117230666852343
2016-01,22.080430720985348
2016-02,20.46586510240088
2016-03,20.00341916435296
2016-04,15.133305259839824
2016-05,12.939670196607024
2016-06,18.67550751503212
2016-07,29.95590662163483
2016-08,24.762000748550303
2016-09,21.374736106659096
2016-10,20.96751576534295
2016-11,18.86683835336341
2016-12,17.635351232748583
2017-01,13.120138062562386
2017-02,10.484475856573075
2017-03,11.862258112172551
2017-04,9.077492125568654
2017-05,7.741865698224142
2017-06,6.867478100590356
2017-07,6.979249081680924
2017-08,8.106616305683875
2017-09,4.052915973560736
2017-10,2.162095791533709
2017-11,1.612409979440409
2017-12,1.7938358195706876
2018-01,1.5996596889972028
2018-02,1.2057162069988607
2018-03,0.986984292096293
2018-04,0.09645240744931598
2018-05,-0.8688027716449335
2018-06,-1.0585900009438036
2018-07,-0.7928475022425279
2018-08,-0.694010565138647
2018-09,-0.5827055117834278
2018-10,-0.6408759823211047
2018-11,-0.8974555731004583
2018-12,-0.8908031408435714
2019-01,-0.5364186003008029
2019-02,-1.8298722171357658
2019-03,-2.623776202821984
2019-04,-3.2282530464158
2019-05,-4.170833014442655
2019-06,-6.024263640264386
2019-07,-5.576976136652524
2019-08,-4.550679032059075
2019-09,-4.9629824060916405
2019-10,-4.678165346861885
2019-11,-3.3903900724802383
2019-12,-2.844701477914311
